"Street","City","State","Zip","Price","SqFt","Acreage","Beds","Baths","geoadd","Latitude","Longitude","CheckAddDuplicate"
"615 Ashland Park Way","Lawrenceville","GA",30045,2780,2060,0.25,5,3,"615 Ashland Park Way, Lawrenceville, GA 30045",33.9584576,-83.9554281,FALSE
"1300 Mercury Dr","Lawrenceville","GA",30045,2105,1368,0.32,3,2,"1300 Mercury Dr, Lawrenceville, GA 30045",33.9695528,-83.9436831,FALSE
"422 Marsh Lake Rd","Lawrenceville","GA",30045,2210,1795,0,3,2.5,"422 Marsh Lake Rd, Lawrenceville, GA 30045",33.9569891,-83.9591083,FALSE
"740 James Ridge Dr","Lawrenceville","GA",30045,2295,2142,0.28,3,2,"740 James Ridge Dr, Lawrenceville, GA 30045",33.9549798,-83.9460199,FALSE
"971 Simon Park Cir","Lawrenceville","GA",30045,2530,2476,0,4,3,"971 Simon Park Cir, Lawrenceville, GA 30045",33.9477309,-83.9455442,FALSE
"405 Springlake Dr","Lawrenceville","GA",30046,2250,1746,0.27,3,2,"405 Springlake Dr, Lawrenceville, GA 30046",33.9549654,-83.957661,FALSE
"650 Josh Ln","Lawrenceville","GA",30045,2390,1598,0.58,4,3,"650 Josh Ln, Lawrenceville, GA 30045",33.9564359,-83.9540221,FALSE
"215 Green Bridge Ct","Lawrenceville","GA",30046,2375,1913,0,3,2.5,"215 Green Bridge Ct, Lawrenceville, GA 30046",33.9547273,-83.9702507,FALSE
"1180 Mercury Dr","Lawrenceville","GA",30045,2050,1174,0.29,3,2,"1180 Mercury Dr, Lawrenceville, GA 30045",33.9708347,-83.9450479,FALSE
"47 Duke Dr","Lawrenceville","GA",30046,1900,1350,0,3,2,"47 Duke Dr, Lawrenceville, GA 30046",33.9496604,-83.9742815,FALSE
"302 Kings Hill Ct","Lawrenceville","GA",30045,1845,1800,0.51,3,2,"302 Kings Hill Ct, Lawrenceville, GA 30045",33.9684656,-83.9330527,FALSE
"595 Allens Landing Ct","Lawrenceville","GA",30045,1995,1465,0.28,3,2,"595 Allens Landing Ct, Lawrenceville, GA 30045",33.9485957,-83.951665,FALSE
"2040 Darrel Ln","Lawrenceville","GA",30046,2140,1486,0.27,3,2,"2040 Darrel Ln, Lawrenceville, GA 30046",33.9487503,-83.9672122,FALSE
"1461 Lily Valley Dr","Lawrenceville","GA",30045,2425,1993,0,3,3,"1461 Lily Valley Dr, Lawrenceville, GA 30045",33.9708609,-83.934997,FALSE
"549 Village Run","Lawrenceville","GA",30046,2140,1400,0.42,3,2,"549 Village Run, Lawrenceville, GA 30046",33.9637785,-83.9639459,FALSE
"1030 Mercury Dr","Lawrenceville","GA",30045,2095,1394,0.28,3,2,"1030 Mercury Dr, Lawrenceville, GA 30045",33.969564,-83.9482807,FALSE
"725 Simon Ive Dr","Lawrenceville","GA",30045,2395,3287,0.26,4,2.5,"725 Simon Ive Dr, Lawrenceville, GA 30045",33.9468818,-83.9476948,FALSE
"849 Arbor Crowne Dr","Lawrenceville","GA",30045,2549,1950,0,3,3,"849 Arbor Crowne Dr, Lawrenceville, GA 30045",33.9673497,-83.9542599,FALSE
"139 Cedar Ridge Trl","Lawrenceville","GA",30046,1800,1158,1,3,2,"139 Cedar Ridge Trl, Lawrenceville, GA 30046",33.9460776,-83.979118,FALSE
"1286 Key Manor Ln","Lawrenceville","GA",30045,2045,1848,0,3,2.5,"1286 Key Manor Ln, Lawrenceville, GA 30045",33.9727017,-83.9406638,FALSE
"417 Northdale Ct","Lawrenceville","GA",30046,1835,1320,0,3,2.5,"417 Northdale Ct, Lawrenceville, GA 30046",33.965835,-83.991214,FALSE
"187 Grenier Ter","Lawrenceville","GA",30045,2385,1954,0,3,2.5,"187 Grenier Ter, Lawrenceville, GA 30045",33.9730383,-83.9533636,FALSE
"476 Springbottom Ct","Lawrenceville","GA",30046,1999,1544,0,3,2.5,"476 Springbottom Ct, Lawrenceville, GA 30046",33.9585816,-83.9641526,FALSE
"865 Ashland Park Way","Lawrenceville","GA",30045,1940,1595,0,3,2,"865 Ashland Park Way, Lawrenceville, GA 30045",33.9617481,-83.9543943,FALSE
"384 Springbottom Ct","Lawrenceville","GA",30046,2195,2278,0,4,3,"384 Springbottom Ct, Lawrenceville, GA 30046",33.956989,-83.9645941,FALSE
"492 Springbottom Ct","Lawrenceville","GA",30046,2320,1526,0,3,3,"492 Springbottom Ct, Lawrenceville, GA 30046",33.9586652,-83.9635857,FALSE
"465 Radio Ct","Lawrenceville","GA",30046,2125,1409,0.44,3,2,"465 Radio Ct, Lawrenceville, GA 30046",33.9553738,-83.9562551,FALSE
"790 Amelia Grove Ln","Lawrenceville","GA",30045,2249,1434,0,3,2,"790 Amelia Grove Ln, Lawrenceville, GA 30045",33.9668545,-83.9580952,FALSE
"481 Providence Run Way","Lawrenceville","GA",30046,1800,1776,0,3,2.5,"481 Providence Run Way, Lawrenceville, GA 30046",33.9638486,-83.9662612,FALSE
"480 Dunagan Dr","Lawrenceville","GA",30045,1950,1753,0.28,3,2,"480 Dunagan Dr, Lawrenceville, GA 30045",33.9612582,-83.9448618,FALSE
"345 Clearsprings Dr","Lawrenceville","GA",30046,2070,1432,0.5,3,2.5,"345 Clearsprings Dr, Lawrenceville, GA 30046",33.9553643,-83.9640286,FALSE
"146 Springbottom Dr","Lawrenceville","GA",30046,1875,1762,0,3,2.5,"146 Springbottom Dr, Lawrenceville, GA 30046",33.9590117,-83.9620628,FALSE
"147 Northdale Pl ","Lawrenceville","GA",30046,1950,1320,0,3,2.5,"147 Northdale Pl , Lawrenceville, GA 30046",33.966017,-83.992631,FALSE
"137 Sweetspring Way","Lawrenceville","GA",30045,2830,2421,0,4,2.5,"137 Sweetspring Way, Lawrenceville, GA 30045",33.966402,-83.951086,FALSE
"138 Sandalwood Cir","Lawrenceville","GA",30046,1750,1871,0,2,2,"138 Sandalwood Cir, Lawrenceville, GA 30046",33.947929,-83.977122,FALSE
"454 Swanson Dr","Lawrenceville","GA",30043,2500,1800,0.4,4,3,"454 Swanson Dr, Lawrenceville, GA 30043",33.9833857,-83.9811791,FALSE
"658 Lansing Grove Way","Lawrenceville","GA",30043,2300,2049,0,3,3,"658 Lansing Grove Way, Lawrenceville, GA 30043",34.0089313,-83.9916853,FALSE
"990 Thousand Oaks Dr","Lawrenceville","GA",30043,2035,1788,0.65,3,2.5,"990 Thousand Oaks Dr, Lawrenceville, GA 30043",34.0159849,-83.9909801,FALSE
"2180 Castle Royale Dr","Lawrenceville","GA",30043,2320,2322,0.65,4,3,"2180 Castle Royale Dr, Lawrenceville, GA 30043",34.0262224,-83.9371066,FALSE
"287 Collingsworth Trce","Lawrenceville","GA",30043,2500,2124,0,3,2.5,"287 Collingsworth Trce, Lawrenceville, GA 30043",34.0102638,-83.9379752,FALSE
"1123 Gather Dr","Lawrenceville","GA",30043,2395,2782,0,4,3,"1123 Gather Dr, Lawrenceville, GA 30043",34.0140287,-83.9435383,FALSE
"2358 Radcliff Dr","Lawrenceville","GA",30043,2195,1722,0.29,3,2,"2358 Radcliff Dr, Lawrenceville, GA 30043",34.0332296,-83.9376443,FALSE
"2080 Prospect Rd","Lawrenceville","GA",30043,2370,1744,0.56,3,2,"2080 Prospect Rd, Lawrenceville, GA 30043",34.0315113,-83.9777125,FALSE
"510 Montrachet Ct","Lawrenceville","GA",30043,2195,2331,0.35,4,2,"510 Montrachet Ct, Lawrenceville, GA 30043",34.008082,-83.9938936,FALSE
"1215 Hunters Creek Ct","Lawrenceville","GA",30043,2245,2212,1,3,2.5,"1215 Hunters Creek Ct, Lawrenceville, GA 30043",33.9976557,-83.9793453,FALSE
"1827 Azalea Dr","Lawrenceville","GA",30043,2135,1412,1,4,3,"1827 Azalea Dr, Lawrenceville, GA 30043",34.0217159,-83.98135,FALSE
"1140 Ashlyn Ct","Lawrenceville","GA",30043,2650,2850,0,5,3,"1140 Ashlyn Ct, Lawrenceville, GA 30043",33.9963181,-84.0061661,FALSE
"1120 Ashlyn Ct","Lawrenceville","GA",30043,2650,2850,0,5,3,"1120 Ashlyn Ct, Lawrenceville, GA 30043",33.9963181,-84.0061661,FALSE
"1150 Ashlyn Ct","Lawrenceville","GA",30043,2350,2449,0,4,2.5,"1150 Ashlyn Ct, Lawrenceville, GA 30043",33.9963181,-84.0061661,FALSE
"1795 Charleston Oak Cir","Lawrenceville","GA",30043,1995,1996,0,3,2,"1795 Charleston Oak Cir, Lawrenceville, GA 30043",34.0435498,-83.9601627,FALSE
"1130 Ashlyn Ct","Lawrenceville","GA",30043,2350,2449,0,4,2.5,"1130 Ashlyn Ct, Lawrenceville, GA 30043",33.9963181,-84.0061661,FALSE
"2323 Jasmine Glen Dr","Buford","GA",30519,2395,2300,0,4,2.5,"2323 Jasmine Glen Dr, Buford, GA 30519",34.0825033,-83.9727106,FALSE
"3186 Millash Run","Buford","GA",30519,2375,2526,0.28,3,2,"3186 Millash Run, Buford, GA 30519",34.0870667,-83.9350797,FALSE
"3450 Kentwater Dr","Buford","GA",30519,3145,4659,0,4,3.5,"3450 Kentwater Dr, Buford, GA 30519",34.0827157,-83.9682044,FALSE
"2460 Fieldrock Way","Lawrenceville","GA",30043,2495,2512,0.6,5,2.5,"2460 Fieldrock Way, Lawrenceville, GA 30043",34.0449188,-83.9757077,FALSE
"2373 Walnut Tree Ln","Buford","GA",30519,2500,1875,0,4,2,"2373 Walnut Tree Ln, Buford, GA 30519",34.0568764,-83.9530296,FALSE
"2751 Tybee Dr","Buford","GA",30519,2350,1724,0.55,4,3,"2751 Tybee Dr, Buford, GA 30519",34.0449592,-83.9902775,FALSE
"2672 Crestworth Ln","Buford","GA",30519,2299,2616,0.68,4,2.5,"2672 Crestworth Ln, Buford, GA 30519",34.051274,-83.9766791,FALSE
"2462 Pearl Ridge Trce","Buford","GA",30519,2600,2121,0,3,2.5,"2462 Pearl Ridge Trce, Buford, GA 30519",34.0734577,-83.9588188,FALSE
"3004 Weyhill Trl","Buford","GA",30519,2500,2000,0,3,2.5,"3004 Weyhill Trl, Buford, GA 30519",34.0753934,-83.9567231,FALSE
"2399 White Alder Dr","Buford","GA",30519,2550,2100,0,4,2.5,"2399 White Alder Dr, Buford, GA 30519",34.0832278,-83.9724626,FALSE
"2753 Morgan Glen Rd","Buford","GA",30519,2300,2106,0,3,2.5,"2753 Morgan Glen Rd, Buford, GA 30519",34.0645918,-83.9390118,FALSE
"2934 Weyhill Trl","Buford","GA",30519,2500,2020,0,3,2.5,"2934 Weyhill Trl, Buford, GA 30519",34.0750667,-83.9571648,FALSE
"3376 Harvest Ridge Ln","Buford","GA",30519,2800,2220,0,4,2.5,"3376 Harvest Ridge Ln, Buford, GA 30519",34.0808439,-83.9795313,FALSE
"2798 Morgan Spring Trl","Buford","GA",30519,2895,2645,0,5,3,"2798 Morgan Spring Trl, Buford, GA 30519",34.0641247,-83.9356174,FALSE
"2730 Oak Log Way","Buford","GA",30519,2000,2200,0.53,3,3,"2730 Oak Log Way, Buford, GA 30519",34.0522874,-83.9809987,FALSE
"2814 Weyhill Trl","Buford","GA",30519,2500,2020,0,3,2.5,"2814 Weyhill Trl, Buford, GA 30519",34.0744552,-83.9579505,FALSE
"2965 Andover Trl","Buford","GA",30519,2900,2880,0,4,3,"2965 Andover Trl, Buford, GA 30519",34.0752893,-83.9519958,FALSE
"3090 Hallmark Ln","Buford","GA",30519,2590,2709,0,4,4,"3090 Hallmark Ln, Buford, GA 30519",34.0745427,-83.9737259,FALSE
"2247 Rocksram Ct","Buford","GA",30519,1500,3553,0.74,2,1,"2247 Rocksram Ct, Buford, GA 30519",34.0459549,-83.960142,FALSE
"3045 Cedar Glade Ln","Buford","GA",30519,1800,1666,0,3,2.5,"3045 Cedar Glade Ln, Buford, GA 30519",34.0720856,-83.9706022,FALSE
"2065 Rock Creek Rd","Buford","GA",30519,2600,2398,1,5,3,"2065 Rock Creek Rd, Buford, GA 30519",34.0853069,-83.9821767,FALSE
"3429 Rosecliff Trce","Buford","GA",30519,3000,2796,0,4,3.5,"3429 Rosecliff Trce, Buford, GA 30519",34.0893702,-83.944014,FALSE
"3206 Millash Run","Buford","GA",30519,2299,2154,0.28,4,2,"3206 Millash Run, Buford, GA 30519",34.0874276,-83.9353692,FALSE
"315 Mimosa Dr","Buford","GA",30518,2595,3817,0.42,3,2,"315 Mimosa Dr, Buford, GA 30518",34.1169979,-83.9940796,FALSE
