"Street","City","State","Zip","Price","SqFt","Acreage","Beds","Baths","geoadd","Latitude","Longitude","CheckAddDuplicate"
"2575 Peachtree North Ct ","Atlanta","GA",30309,11750,3100,0,2,3.5,"2575 Peachtree North Ct , Atlanta, GA 30309",33.9416589,-84.2957459,FALSE
"3376 Peachtree North Ct ","Atlanta","GA",30309,12000,3407,0,3,3.5,"3376 Peachtree North Ct , Atlanta, GA 30309",33.9419668,-84.295417,FALSE
"279 Howell Ter SW","Atlanta","GA",30331,1490,1002,0.34,3,1,"279 Howell Ter SW, Atlanta, GA 30331",33.7505781,-84.5051565,FALSE
"750 Legacy Pl SW","Atlanta","GA",30331,1800,3130,0.48,2,1,"750 Legacy Pl SW, Atlanta, GA 30331",33.7222751,-84.5245331,FALSE
"330 Beracah Trl SW","Atlanta","GA",30331,3000,3024,0,4,3.5,"330 Beracah Trl SW, Atlanta, GA 30331",33.7275514,-84.5178565,FALSE
"124 Cottsford Dr SW","Atlanta","GA",30331,1700,1365,0,3,2,"124 Cottsford Dr SW, Atlanta, GA 30331",33.7317573,-84.5426998,FALSE
"3781 Martin Luther King Jr Dr SW ","Atlanta","GA",30331,1375,850,0,3,1.5,"3781 Martin Luther King Jr Dr SW , Atlanta, GA 30331",33.7678141,-84.5124055,FALSE
"625 Excalibur Ct SE","Mableton","GA",30126,2860,3124,0.33,4,3,"625 Excalibur Ct SE, Mableton, GA 30126",33.7891269,-84.5365327,FALSE
"6725 Rioca Cir SE","Mableton","GA",30126,1995,1365,0,3,2,"6725 Rioca Cir SE, Mableton, GA 30126",33.790456,-84.5488983,FALSE
"7329 Copperbend Ct","Austell","GA",30168,2299,1900,0,3,2.5,"7329 Copperbend Ct, Austell, GA 30168",33.7780642,-84.5490621,FALSE
"5930 Vinings Vintage Way","Mableton","GA",30126,2585,2000,0,4,2,"5930 Vinings Vintage Way, Mableton, GA 30126",33.8029194,-84.5425111,FALSE
"4093 Cornell Blvd SW","Atlanta","GA",30331,1580,975,0.4,3,1,"4093 Cornell Blvd SW, Atlanta, GA 30331",33.7601469,-84.5214714,FALSE
"1385 Nash Rd NW","Atlanta","GA",30331,1640,1296,0.39,3,2,"1385 Nash Rd NW, Atlanta, GA 30331",33.7927176,-84.4900358,FALSE
"202 Clydesdale Ln SE","Mableton","GA",30126,1945,2246,0,3,2,"202 Clydesdale Ln SE, Mableton, GA 30126",33.8018729,-84.5483661,FALSE
"412 Argus Cir NW","Atlanta","GA",30331,1400,1050,0,3,2,"412 Argus Cir NW, Atlanta, GA 30331",33.7654415,-84.5017967,FALSE
"6544 Mountain Home Way SE","Mableton","GA",30126,2300,1432,0,3,2.5,"6544 Mountain Home Way SE, Mableton, GA 30126",33.798015,-84.547899,FALSE
"133 Burre Ln SW","Atlanta","GA",30331,1795,1176,0.38,4,2,"133 Burre Ln SW, Atlanta, GA 30331",33.7578635,-84.5173239,FALSE
"6898 Slate Stone Way SE ","Mableton","GA",30126,1950,1980,0,3,3.5,"6898 Slate Stone Way SE , Mableton, GA 30126",33.787188,-84.543661,FALSE
"987 Bolton Rd NW","Atlanta","GA",30331,1495,900,0.76,2,1,"987 Bolton Rd NW, Atlanta, GA 30331",33.7822853,-84.4980269,FALSE
"450 Fairburn Rd NW","Atlanta","GA",30331,1390,1008,0.25,3,2,"450 Fairburn Rd NW, Atlanta, GA 30331",33.767688,-84.5004014,FALSE
"3757 Clovis Ct NW","Atlanta","GA",30331,1425,1000,0.51,3,2,"3757 Clovis Ct NW, Atlanta, GA 30331",33.7745132,-84.5101139,FALSE
"218 Aldridge Pl","Smyrna","GA",30082,2700,2800,0,3,3,"218 Aldridge Pl, Smyrna, GA 30082",33.8370164,-84.5121085,FALSE
"1240 Wandering Vine Ct SE","Mableton","GA",30126,2750,1787,0,3,2,"1240 Wandering Vine Ct SE, Mableton, GA 30126",33.8162824,-84.5221165,FALSE
"1937 W Village Poin SE","Smyrna","GA",30080,3400,3857,0,4,3.5,"1937 W Village Poin SE, Smyrna, GA 30080",33.8417967,-84.4954862,FALSE
"6015 Farmwood Way SE","Mableton","GA",30126,2660,2283,0,3,2.5,"6015 Farmwood Way SE, Mableton, GA 30126",33.8063851,-84.5127358,FALSE
"6037 Colt Ridge Trl SE","Mableton","GA",30126,2300,3816,0,3,3,"6037 Colt Ridge Trl SE, Mableton, GA 30126",33.8082098,-84.5117117,FALSE
"5999 Found Forest Cv","Mableton","GA",30126,3100,2553,0,4,4,"5999 Found Forest Cv, Mableton, GA 30126",33.8104443,-84.5317004,FALSE
"1751 Graywood Dr SE","Mableton","GA",30126,2095,1456,0,4,3,"1751 Graywood Dr SE, Mableton, GA 30126",33.813437,-84.5079835,FALSE
"424 Tioram Ln SE","Smyrna","GA",30082,2500,1997,0,3,3.5,"424 Tioram Ln SE, Smyrna, GA 30082",33.8260276,-84.5038556,FALSE
"250 Deidra Dr SE","Mableton","GA",30126,1965,1336,0.46,3,2,"250 Deidra Dr SE, Mableton, GA 30126",33.8068324,-84.5478953,FALSE
"1221 Creekside Pl SE","Smyrna","GA",30082,2650,2488,0,2,2.5,"1221 Creekside Pl SE, Smyrna, GA 30082",33.8414514,-84.5181718,FALSE
"2132 Berryhill Cir SE","Smyrna","GA",30082,2550,1628,0,3,2.5,"2132 Berryhill Cir SE, Smyrna, GA 30082",33.8443622,-84.5169962,FALSE
"5890 High Hampton Ln SE","Mableton","GA",30126,5000,1990,0,3,3.5,"5890 High Hampton Ln SE, Mableton, GA 30126",33.8101979,-84.5339938,FALSE
"5196 Laurel Bridge Ct SE","Smyrna","GA",30082,1895,1838,0,2,2.5,"5196 Laurel Bridge Ct SE, Smyrna, GA 30082",33.8420039,-84.5115554,FALSE
"5878 Graywood Cir SE","Mableton","GA",30126,2995,3073,0,4,3.5,"5878 Graywood Cir SE, Mableton, GA 30126",33.811737,-84.51042,FALSE
"5018 Groover Dr SE","Smyrna","GA",30080,3500,2435,0.33,4,2.5,"5018 Groover Dr SE, Smyrna, GA 30080",33.8311386,-84.489503,FALSE
"1647 Omara Ln SE","Smyrna","GA",30082,3300,2941,0,4,2.5,"1647 Omara Ln SE, Smyrna, GA 30082",33.8367239,-84.5055662,FALSE
"4831 Edinburgh Dr","Smyrna","GA",30082,3500,3464,0,5,3,"4831 Edinburgh Dr, Smyrna, GA 30082",33.8348291,-84.513801,FALSE
"1655 WEHUNT PL SE","Smyrna","GA",30082,2799,2382,0,3,4,"1655 WEHUNT PL SE, Smyrna, GA 30082",33.8411532,-84.5081784,FALSE
"1778 Highlands Vw SE","Smyrna","GA",30082,2395,1900,0,3,3.5,"1778 Highlands Vw SE, Smyrna, GA 30082",33.82679,-84.502774,FALSE
"4376 Ivy Glen Way SE","Smyrna","GA",30082,2200,1456,0,2,2.5,"4376 Ivy Glen Way SE, Smyrna, GA 30082",33.8442959,-84.5047467,FALSE
"1481 Roberts Dr","Mableton","GA",30126,2855,2374,0,4,3,"1481 Roberts Dr, Mableton, GA 30126",33.812997,-84.513475,FALSE
"4379 Ivy Glen Way SE","Smyrna","GA",30082,2300,1950,0,3,2.5,"4379 Ivy Glen Way SE, Smyrna, GA 30082",33.8447851,-84.5049926,FALSE
"4375 Coopers Creek Dr SE","Smyrna","GA",30082,3950,1136,0,4,2,"4375 Coopers Creek Dr SE, Smyrna, GA 30082",33.845129,-84.506351,FALSE
"4373 Coopers Creek Dr SE","Smyrna","GA",30082,3950,1136,0,4,2,"4373 Coopers Creek Dr SE, Smyrna, GA 30082",33.8451743,-84.5064539,FALSE
"4543 Coopers Creek Pl SE","Smyrna","GA",30082,4850,NA,0,3,2.5,"4543 Coopers Creek Pl SE, Smyrna, GA 30082",33.8457179,-84.5072466,FALSE
"4523 Coopers Creek Cir SE","Smyrna","GA",30082,3950,1320,0,2,2.5,"4523 Coopers Creek Cir SE, Smyrna, GA 30082",33.8450284,-84.5081729,FALSE
"2051 Harwinor Rd SE","Smyrna","GA",30082,4950,NA,0,3,1.5,"2051 Harwinor Rd SE, Smyrna, GA 30082",33.8318073,-84.4947486,FALSE
"1858 Fox Chapel Dr SE","Smyrna","GA",30080,3000,2561,0,3,3.5,"1858 Fox Chapel Dr SE, Smyrna, GA 30080",33.8458741,-84.5001577,FALSE
"5351 Highland Pine Ln","Mableton","GA",30126,3500,3186,0.35,4,3.5,"5351 Highland Pine Ln, Mableton, GA 30126",33.8211012,-84.5204576,FALSE
"2232 Knoxhill Vw SE ","Smyrna","GA",30082,2800,NA,0,3,2.5,"2232 Knoxhill Vw SE , Smyrna, GA 30082",33.8257319,-84.4930684,FALSE
"Lexington Park Apartments","Smyrna","GA",30082,1339,NA,0,2,1.5,"Lexington Park Apartments, Smyrna, GA 30082",33.8815617,-84.5349091,FALSE
"3941 Gann Rd SE","Smyrna","GA",30082,2500,2335,1.3,4,3,"3941 Gann Rd SE, Smyrna, GA 30082",33.8572587,-84.5264581,FALSE
"316 Garland Woods Ct","Smyrna","GA",30080,3100,NA,0,3,3,"316 Garland Woods Ct, Smyrna, GA 30080",33.8639762,-84.5203216,FALSE
"3820 Cline Dr SE","Smyrna","GA",30082,2915,2650,0.47,4,2.5,"3820 Cline Dr SE, Smyrna, GA 30082",33.8616921,-84.5475677,FALSE
"2263 Wynona Dr SE","Marietta","GA",30060,2275,1575,0,3,2,"2263 Wynona Dr SE, Marietta, GA 30060",33.8979381,-84.5456025,FALSE
"611 Concord Lake Cir SE","Smyrna","GA",30082,3900,3481,0,4,3.5,"611 Concord Lake Cir SE, Smyrna, GA 30082",33.8722726,-84.5352018,FALSE
"1013 Huntington Trce SE","Smyrna","GA",30082,1930,1292,0,3,3,"1013 Huntington Trce SE, Smyrna, GA 30082",33.8762979,-84.5350687,FALSE
"640 Glendale Pl SE","Smyrna","GA",30080,1395,1150,0,2,1.5,"640 Glendale Pl SE, Smyrna, GA 30080",33.8906807,-84.5347919,FALSE
"4009 Hawthorne Cir SE ","Smyrna","GA",30080,1500,1064,0,2,2,"4009 Hawthorne Cir SE , Smyrna, GA 30080",33.8927403,-84.5087631,FALSE
"1900 Tecumseh Trl SE","Smyrna","GA",30080,2350,1703,0,3,2,"1900 Tecumseh Trl SE, Smyrna, GA 30080",33.8668818,-84.4984776,FALSE
"2621 Evergreen Trl SE","Smyrna","GA",30082,2115,1578,0,3,2,"2621 Evergreen Trl SE, Smyrna, GA 30082",33.8890926,-84.5435757,FALSE
"1710 Wynndowne Trl SE","Smyrna","GA",30080,2000,1054,0,2,3,"1710 Wynndowne Trl SE, Smyrna, GA 30080",33.8871317,-84.5023293,FALSE
"1661 Wynndowne Trl SE","Smyrna","GA",30080,1845,1054,0,2,2.5,"1661 Wynndowne Trl SE, Smyrna, GA 30080",33.887615,-84.5048902,FALSE
"1904 Country Park Dr SE","Mableton","GA",30080,1675,1100,0,2,1,"1904 Country Park Dr SE, Mableton, GA 30080",33.8805354,-84.489886,FALSE
"83 Fair Haven Way SE","Smyrna","GA",30080,1735,1250,0,2,2,"83 Fair Haven Way SE, Smyrna, GA 30080",33.8962348,-84.4951847,FALSE
"3535 S Cobb Dr SE","Smyrna","GA",30080,1760,964,0,3,1,"3535 S Cobb Dr SE, Smyrna, GA 30080",33.8675928,-84.5242464,FALSE
"1383 Poplar Poin ","Smyrna","GA",30082,2300,1425,0,2,2.5,"1383 Poplar Poin , Smyrna, GA 30082",33.8806475,-84.5395442,FALSE
"910 Cherokee Trl SE","Smyrna","GA",30080,1795,1148,0,3,1.5,"910 Cherokee Trl SE, Smyrna, GA 30080",33.8950428,-84.5268267,FALSE
"2918 Highland Dr SE","Smyrna","GA",30080,2500,2000,0,4,2,"2918 Highland Dr SE, Smyrna, GA 30080",33.8819303,-84.4948306,FALSE
"1210 Magnolia Way SE","Smyrna","GA",30082,1795,NA,0,2,2.5,"1210 Magnolia Way SE, Smyrna, GA 30082",33.882208,-84.541451,FALSE
"4134 Daniel Green Trl","Smyrna","GA",30080,4500,2973,0,5,3.5,"4134 Daniel Green Trl, Smyrna, GA 30080",33.8535365,-84.5013869,FALSE
"295 Highview Dr SE","Smyrna","GA",30082,2100,1500,0,3,1,"295 Highview Dr SE, Smyrna, GA 30082",33.8605629,-84.5451316,FALSE
"1545 Springleaf Ct SE","Smyrna","GA",30080,1700,1386,0,2,2.5,"1545 Springleaf Ct SE, Smyrna, GA 30080",33.8880573,-84.5035995,FALSE
"1347 Hawthorne Ave SE","Smyrna","GA",30080,2850,2296,0,3,4.5,"1347 Hawthorne Ave SE, Smyrna, GA 30080",33.890879,-84.514244,FALSE
"3313 Campbell Rd SE","Smyrna","GA",30080,5900,100,0,3,2,"3313 Campbell Rd SE, Smyrna, GA 30080",33.8746179,-84.4936012,FALSE
"3089 Nursery Rd SE","Smyrna","GA",30082,5400,1100,0,3,1.5,"3089 Nursery Rd SE, Smyrna, GA 30082",33.8783982,-84.5425111,FALSE
"1690 Cedar Cliff Dr SE","Smyrna","GA",30080,2975,2280,1,4,2.5,"1690 Cedar Cliff Dr SE, Smyrna, GA 30080",33.8622929,-84.5047467,FALSE
"1107 Countryside Pl SE","Smyrna","GA",30080,1925,1300,0,2,2,"1107 Countryside Pl SE, Smyrna, GA 30080",33.8806132,-84.4919228,FALSE
"3099 Nursery Rd SE","Smyrna","GA",30082,5400,1100,0,4,1.5,"3099 Nursery Rd SE, Smyrna, GA 30082",33.8781791,-84.5424702,FALSE
"1100 Huntington Trce SE","Smyrna","GA",30082,1600,1980,0,2,2.5,"1100 Huntington Trce SE, Smyrna, GA 30082",33.87625,-84.536143,FALSE
"1233 Concord Rd SE","Smyrna","GA",30080,3500,2650,0,3,3.5,"1233 Concord Rd SE, Smyrna, GA 30080",33.873957,-84.5308371,FALSE
"1715 Wynndowne Trl SE","Smyrna","GA",30080,1550,NA,0,2,2.5,"1715 Wynndowne Trl SE, Smyrna, GA 30080",33.8876123,-84.5026103,FALSE
"Georgian Oaks Apartments","Smyrna","GA",30080,1029,NA,0,2,1,"Georgian Oaks Apartments, Smyrna, GA 30080",33.8992731,-84.523294,FALSE
"2103 Valley Oaks Dr SE","Smyrna","GA",30080,1800,1178,0,2,2,"2103 Valley Oaks Dr SE, Smyrna, GA 30080",33.9013324,-84.5305399,FALSE
"509 Pat Mell Rd SE","Smyrna","GA",30080,2195,1100,0,3,2,"509 Pat Mell Rd SE, Smyrna, GA 30080",33.9022478,-84.5384164,FALSE
"733 Twin Brooks Ct SE","Marietta","GA",30067,2000,2450,0,3,2.5,"733 Twin Brooks Ct SE, Marietta, GA 30067",33.9371958,-84.5008952,FALSE
"578 Boyds Dr SE","Marietta","GA",30067,1700,1256,0,3,1,"578 Boyds Dr SE, Marietta, GA 30067",33.9379791,-84.4969205,FALSE
"1980 Harold Ave SE","Smyrna","GA",30080,2345,1609,0,3,2,"1980 Harold Ave SE, Smyrna, GA 30080",33.9048074,-84.532705,FALSE
"1676 Aircraft Dr SE","Marietta","GA",30060,1795,928,0,3,1,"1676 Aircraft Dr SE, Marietta, GA 30060",33.9122038,-84.5368501,FALSE
"519 Lyle Dr SE","Marietta","GA",30067,1595,1175,0,3,1,"519 Lyle Dr SE, Marietta, GA 30067",33.9393374,-84.4952404,FALSE
"1645 Caswell Pkwy","Marietta","GA",30060,2800,2000,0,3,2.5,"1645 Caswell Pkwy, Marietta, GA 30060",33.9057847,-84.4938471,FALSE
"1329 Fair Oaks Ave SE","Marietta","GA",30060,1650,1135,0,2,1,"1329 Fair Oaks Ave SE, Marietta, GA 30060",33.9199484,-84.5437395,FALSE
"1711 Twin Brooks Dr SE","Marietta","GA",30067,1799,1246,0,2,2,"1711 Twin Brooks Dr SE, Marietta, GA 30067",33.9373033,-84.5031898,FALSE
"358 Phillips Dr SE","Marietta","GA",30060,1500,1030,0,2,1,"358 Phillips Dr SE, Marietta, GA 30060",33.9442125,-84.5423883,FALSE
"320 Stokes Ave","Marietta","GA",30060,1560,750,0,2,1,"320 Stokes Ave, Marietta, GA 30060",33.9447951,-84.5409902,FALSE
"2101 Valley Oaks Dr SE","Smyrna","GA",30080,5400,1700,0,3,2.5,"2101 Valley Oaks Dr SE, Smyrna, GA 30080",33.9015427,-84.5305776,FALSE
"2099 Valley Oaks Dr SE","Smyrna","GA",30080,5400,1700,1,3,2.5,"2099 Valley Oaks Dr SE, Smyrna, GA 30080",33.9015449,-84.5305085,FALSE
"94 Cochran Rd SE","Marietta","GA",30060,4600,100,1,3,1,"94 Cochran Rd SE, Marietta, GA 30060",33.9126706,-84.5505974,FALSE
"815 S Cobb Dr SE","Marietta","GA",30060,1070,750,0,1,1,"815 S Cobb Dr SE, Marietta, GA 30060",33.9335045,-84.5466152,FALSE
"1383 Brentwood Ln","Marietta","GA",30062,2600,2530,0,4,2.5,"1383 Brentwood Ln, Marietta, GA 30062",33.9860071,-84.5106875,FALSE
"1634 E Lake Dr","Marietta","GA",30062,2375,1604,0,4,2,"1634 E Lake Dr, Marietta, GA 30062",33.9907969,-84.5168733,FALSE
"1380 Glenover Way","Marietta","GA",30062,2400,2568,1,4,2.5,"1380 Glenover Way, Marietta, GA 30062",33.9893878,-84.5115478,FALSE
"805 Delta Cir","Marietta","GA",30062,1500,800,0,2,1,"805 Delta Cir, Marietta, GA 30062",33.9643272,-84.5288745,FALSE
"383 McArthur Dr NE","Marietta","GA",30060,2465,1306,60,3,2,"383 McArthur Dr NE, Marietta, GA 30060",33.9580022,-84.5409552,FALSE
"247 Aviation Rd SE","Marietta","GA",30060,2000,1456,0,3,2,"247 Aviation Rd SE, Marietta, GA 30060",33.9460995,-84.5261714,FALSE
"1543 Evanston Ct","Marietta","GA",30062,2695,1860,0.32,3,3,"1543 Evanston Ct, Marietta, GA 30062",33.991074,-84.5084751,FALSE
"306 Alexander St SE ","Marietta","GA",30060,1775,1000,0,2,1,"306 Alexander St SE , Marietta, GA 30060",33.9476155,-84.545193,FALSE
"408 Rigby St NE","Marietta","GA",30060,2500,1000,0,2,1,"408 Rigby St NE, Marietta, GA 30060",33.9553207,-84.5402181,FALSE
"1360 Varner Rd","Marietta","GA",30062,2225,1652,1,3,2.5,"1360 Varner Rd, Marietta, GA 30062",33.9541203,-84.5122033,FALSE
"351 Frasier St","Marietta","GA",30060,1750,1095,0,2,2,"351 Frasier St, Marietta, GA 30060",33.9468653,-84.5424702,FALSE
"173 Merritt St SE","Marietta","GA",30060,1500,783,1,2,1,"173 Merritt St SE, Marietta, GA 30060",33.947717,-84.5342607,FALSE
"171 Merritt St","Marietta","GA",30060,1500,783,0,2,1,"171 Merritt St, Marietta, GA 30060",33.9478208,-84.5341371,FALSE
"1381 Glenover Way","Marietta","GA",30062,2400,1724,0.25,3,2.5,"1381 Glenover Way, Marietta, GA 30062",33.9895381,-84.5119984,FALSE
"530 Waterman St SE","Marietta","GA",30060,2200,1000,0,2,2,"530 Waterman St SE, Marietta, GA 30060",33.9473299,-84.5372698,FALSE
"656 Coventry Township Ln","Marietta","GA",30062,1850,1522,0,2,2.5,"656 Coventry Township Ln, Marietta, GA 30062",33.967959,-84.510738,FALSE
"108 Dogwood Dr","Marietta","GA",30068,3000,1456,0.52,5,2,"108 Dogwood Dr, Marietta, GA 30068",33.9532271,-84.5008543,FALSE
"195 Forest Ave NE","Marietta","GA",30060,1300,650,0.31,1,1,"195 Forest Ave NE, Marietta, GA 30060",33.9567206,-84.5468308,FALSE
"195 Forest Ave ","Marietta","GA",30060,1650,2000,0,2,1,"195 Forest Ave , Marietta, GA 30060",33.9567206,-84.5468308,FALSE
"Forest Ave ","Marietta","GA",30060,1150,650,0,1,1,"Forest Ave , Marietta, GA 30060",33.9563598,-84.5463925,FALSE
"399 Allgood Rd","Marietta","GA",30060,2795,1700,0,5,2.5,"399 Allgood Rd, Marietta, GA 30060",33.9612311,-84.5397017,FALSE
"1665 Grist Mill Dr","Marietta","GA",30062,1700,1224,0,2,2.5,"1665 Grist Mill Dr, Marietta, GA 30062",33.974523,-84.502442,FALSE
"783 Coventry Township Pl","Marietta","GA",30062,1945,1750,0,2,3,"783 Coventry Township Pl, Marietta, GA 30062",33.9687997,-84.5125208,FALSE
"247 Aviation Rd","Marietta","GA",30060,2000,1456,0,3,2,"247 Aviation Rd, Marietta, GA 30060",33.9460995,-84.5261714,FALSE
"208 Yancy Dr SE","Marietta","GA",30067,2200,1125,0,3,2.5,"208 Yancy Dr SE, Marietta, GA 30067",33.9460523,-84.4948715,FALSE
"920 Blackwell Ct","Marietta","GA",30066,2400,2700,0.36,4,3,"920 Blackwell Ct, Marietta, GA 30066",34.0384307,-84.519966,FALSE
"798 Weybourne Ct","Marietta","GA",30066,2649,2218,0,3,2.5,"798 Weybourne Ct, Marietta, GA 30066",34.0344897,-84.5342804,FALSE
"2808 Pine Meadow Dr","Marietta","GA",30066,1995,1584,0.34,4,2.5,"2808 Pine Meadow Dr, Marietta, GA 30066",34.0150447,-84.5068363,FALSE
"2991 Caribou Trl","Marietta","GA",30066,1855,1946,0.28,3,2,"2991 Caribou Trl, Marietta, GA 30066",34.0238797,-84.5069387,FALSE
"281 Sumter Dr","Marietta","GA",30066,2550,2002,0,4,2,"281 Sumter Dr, Marietta, GA 30066",34.033056,-84.5430434,FALSE
"2681 Meadow Rdg","Marietta","GA",30066,2199,1780,0,4,2,"2681 Meadow Rdg, Marietta, GA 30066",34.0149333,-84.5082293,FALSE
"2791 Pine Meadow Dr","Marietta","GA",30066,2199,1360,0,3,2,"2791 Pine Meadow Dr, Marietta, GA 30066",34.0159812,-84.5064266,FALSE
"1623 Rex Dr","Marietta","GA",30066,1995,1512,0,3,2,"1623 Rex Dr, Marietta, GA 30066",34.0127681,-84.5063856,FALSE
"1334 Shadowood Ct","Marietta","GA",30066,2585,1646,0,4,3,"1334 Shadowood Ct, Marietta, GA 30066",34.036402,-84.5119165,FALSE
"2991 Wood Forest Rd","Marietta","GA",30066,2495,1756,0,3,2,"2991 Wood Forest Rd, Marietta, GA 30066",34.0243916,-84.5374746,FALSE
"1330 Woodhill Dr","Marietta","GA",30066,1940,1560,0.29,3,2,"1330 Woodhill Dr, Marietta, GA 30066",34.0373498,-84.5112815,FALSE
"2091 Kinridge Ct","Marietta","GA",30062,2800,2431,0.42,4,3,"2091 Kinridge Ct, Marietta, GA 30062",33.9987963,-84.4938061,FALSE
"3681 Autumn Leaves Ln","Marietta","GA",30066,2750,2600,0.45,4,2.5,"3681 Autumn Leaves Ln, Marietta, GA 30066",34.0381769,-84.5157263,FALSE
"2554 Morgan Lake Dr NE","Marietta","GA",30066,2495,2520,0,4,2,"2554 Morgan Lake Dr NE, Marietta, GA 30066",34.0124006,-84.513719,FALSE
"921 Cobb Place Manor Dr","Marietta","GA",30066,2595,2472,0,3,2,"921 Cobb Place Manor Dr, Marietta, GA 30066",34.0186239,-84.5375565,FALSE
"1203 Rio Ct","Marietta","GA",30066,1795,1056,0.32,3,1.5,"1203 Rio Ct, Marietta, GA 30066",34.0220421,-84.5158492,FALSE
"2683 Morgan Rd NE","Marietta","GA",30066,2100,1520,1.8,3,2,"2683 Morgan Rd NE, Marietta, GA 30066",34.0165261,-84.5167095,FALSE
"2787 Pine Meadow Dr","Woodstock","GA",30066,2200,1500,1,4,2,"2787 Pine Meadow Dr, Woodstock, GA 30066",34.0161803,-84.5070002,FALSE
"52 Barrington Pl","Marietta","GA",30066,1950,1290,0,2,2.5,"52 Barrington Pl, Marietta, GA 30066",33.994729,-84.550731,FALSE
"123 Berrywood Dr","Marietta","GA",30066,2649,1850,0.27,4,3,"123 Berrywood Dr, Marietta, GA 30066",34.0147936,-84.5451316,FALSE
"1704 Barrington Overlook","Marietta","GA",30066,1800,1210,0,2,2.5,"1704 Barrington Overlook, Marietta, GA 30066",33.9943377,-84.5504842,FALSE
"654 Joel Dr","Marietta","GA",30066,5500,100,1,3,2,"654 Joel Dr, Marietta, GA 30066",34.0321687,-84.5313523,FALSE
"491 Edward Ct","Marietta","GA",30066,5750,1640,0,3,2,"491 Edward Ct, Marietta, GA 30066",34.0083438,-84.5347309,FALSE
"941 Pine Mnr","Marietta","GA",30066,5000,1150,0.29,4,3,"941 Pine Mnr, Marietta, GA 30066",34.0311838,-84.5233453,FALSE
"3075 Shaw Rd","Marietta","GA",30066,3000,3719,1.41,4,3,"3075 Shaw Rd, Marietta, GA 30066",34.0254844,-84.511302,FALSE
"86 Hartley Woods Dr NE","Kennesaw","GA",30144,2250,1412,0,3,2,"86 Hartley Woods Dr NE, Kennesaw, GA 30144",34.0438396,-84.5465237,FALSE
"4955 Shallow Ridge Rd NE","Kennesaw","GA",30144,2450,2652,0.28,3,2.5,"4955 Shallow Ridge Rd NE, Kennesaw, GA 30144",34.0734362,-84.5458686,FALSE
"1462 Seafoam Ct","Roswell","GA",30066,2150,2164,0.45,3,2.5,"1462 Seafoam Ct, Roswell, GA 30066",34.0562428,-84.5045009,FALSE
"373 England Pl","Marietta","GA",30066,3195,3063,0,5,4,"373 England Pl, Marietta, GA 30066",34.0512436,-84.5383754,FALSE
"4362 Inlet Rd","Marietta","GA",30066,2310,1816,0,3,3,"4362 Inlet Rd, Marietta, GA 30066",34.0573646,-84.5087414,FALSE
"4810 Way Bridge Dr NE","Kennesaw","GA",30144,1899,1280,0,3,2,"4810 Way Bridge Dr NE, Kennesaw, GA 30144",34.0689192,-84.5364303,FALSE
"4355 S Landing Dr","Marietta","GA",30066,2545,1488,0,3,2,"4355 S Landing Dr, Marietta, GA 30066",34.0590724,-84.4925971,FALSE
"885 Trace Cir NE","Marietta","GA",30066,2290,1396,0,3,2.5,"885 Trace Cir NE, Marietta, GA 30066",34.0579526,-84.5253523,FALSE
"5138 Farm Place Dr NE","Woodstock","GA",30188,1600,2438,0,3,2,"5138 Farm Place Dr NE, Woodstock, GA 30188",34.0745308,-84.5294889,FALSE
"5140 Farm Place Dr NE","Woodstock","GA",30188,1400,1219,0,2,2,"5140 Farm Place Dr NE, Woodstock, GA 30188",34.0746793,-84.5294774,FALSE
"4938 Deen Rd","Marietta","GA",30066,4000,5548,4.7,6,5,"4938 Deen Rd, Marietta, GA 30066",34.070944,-84.5186817,FALSE
"257 Manley Ct","Woodstock","GA",30188,2100,1195,0.8,2,3,"257 Manley Ct, Woodstock, GA 30188",34.0844899,-84.5077377,FALSE
"1395 Smokey Mountain Ct","Marietta","GA",30066,2300,1540,0.25,3,2,"1395 Smokey Mountain Ct, Marietta, GA 30066",34.0656906,-84.5111381,FALSE
"1782 Jody Dr NE","Marietta","GA",30066,2000,1650,0,3,2,"1782 Jody Dr NE, Marietta, GA 30066",34.0487428,-84.4987645,FALSE
"1772 Jody Dr NE","Marietta","GA",30066,2600,1374,0.39,3,2,"1772 Jody Dr NE, Marietta, GA 30066",34.0487214,-84.4992562,FALSE
"4456 Highland Cir NE","Marietta","GA",30066,1899,1128,0,3,2,"4456 Highland Cir NE, Marietta, GA 30066",34.0587702,-84.5222803,FALSE
"1734 Christie Dr NE","Marietta","GA",30066,1950,2012,0,3,3,"1734 Christie Dr NE, Marietta, GA 30066",34.049735,-84.4986415,FALSE
"906 W Oaks Dr","Woodstock","GA",30188,2040,1271,0,2,2.5,"906 W Oaks Dr, Woodstock, GA 30188",34.0807465,-84.4928635,FALSE
"4035 Thames Dr NE","Kennesaw","GA",30144,2500,1876,0.35,4,3,"4035 Thames Dr NE, Kennesaw, GA 30144",34.0493524,-84.5446403,FALSE
"605 Market Place Ln","Woodstock","GA",30188,2500,1540,0,3,2.5,"605 Market Place Ln, Woodstock, GA 30188",34.1139366,-84.5227618,FALSE
"215 Prairie Ln","Woodstock","GA",30189,3300,2024,0,3,2,"215 Prairie Ln, Woodstock, GA 30189",34.0929842,-84.537177,FALSE
